Predicate,Count
P-Located_in,1407
P-located_in,1095
P-Part_of,896
P-Nationality,844
P-Associated_with,747
P-associated_with,686
P-Born_in,601
P-Produced_by,570
P-Country,547
P-Location,520
P-Connected_to,504
P-Collaborated_with,489
P-Affiliated_with,400
P-authored,364
P-Headquarters_location,350
P-Based_in,347
P-Owned_by,339
P-Features,339
P-Member_of,322
P-Directed_by,321
P-is_a,259
P-connected_to,256
P-Directed,238
P-collaborated_with,230
P-wrote,229
P-is,229
P-features,217
P-Includes,216
P-owns,204
P-Appears_in,203
P-Produced,202
P-Won,200
P-memberOf,197
P-Married_to,195
P-includes,195
P-Contributed_to,180
P-based_in,179
P-Starred_in,172
P-affiliated_with,168
P-is_part_of,167
P-Moved_to,158
P-Collaborates_with,156
P-Worked_with,155
P-Participated_in,153
P-married_to,152
P-Awarded,152
P-Wrote,148
P-Owns,148
P-Worked_at,148
P-acted_in,147
P-directed,146
P-Named_after,145
P-appeared_in,145
P-Involved_in,141
P-Attended,139
P-Influenced_by,138
P-Known_for,136
P-Acquired_by,135
P-authored_by,129
P-created,127
P-Lived_in,126
P-Authored,124
P-Created,123
P-Involved_with,119
P-contributed_to,119
P-starred_in,118
P-Founded_by,116
P-worked_at,115
P-lived_in,113
P-attended,111
P-awarded,111
P-Connection_to,108
P-Influenced,108
P-Birthplace,107
P-Established_by,105
P-born_in,105
P-Acquired,105
P-won,104
P-Founded,102
P-Performed_at,102
P-Released_in,100
P-From,100
P-acquired,100
P-studied_at,99
P-Featured_in,97
P-is_located_in,96
P-nationality,95
P-directed_by,93
P-Received,92
P-Genre,92
P-Worked_on,91
P-Defeated,91
P-Supports,91
P-influenced,90
P-Established,90
P-Origin,88
P-appears_in,87
P-Authored_by,85
P-Played_for,84
P-Portrayed_by,84
P-produced,82
P-Developed,82
P-moved_to,81
P-Performed_in,80
P-Managed_by,80
P-is_associated_with,79
P-Appeared_in,79
P-Connection,79
P-Set_in,78
P-Related_to,77
P-participated_in,77
P-worked_with,77
P-Developed_by,76
P-Portrayed,75
P-set_in,73
P-Created_by,73
P-related_to,72
P-Hosted_on,72
P-involved_with,71
P-acquired_by,71
P-Studied_at,70
P-Role,69
P-Position,68
P-Joined,68
P-Educated_at,68
P-Visited,67
P-Led_by,67
P-Based_on,66
P-Stars,65
P-founded,63
P-Published_by,63
P-Written_by,63
P-is_not_connected_to,63
P-Died_in,62
P-Near,62
P-Located_near,62
P-Located_at,62
P-released_in,62
P-Hosted_by,62
P-worked_on,60
P-is_connected_to,59
P-involved_in,59
P-collaborates_with,59
P-from,59
P-connection_to,58
P-located_near,58
P-served_as,57
P-Worked_in,57
P-Portrays,57
P-Competed_in,57
P-is_from,57
P-Released,57
P-Affiliation,57
P-Linked_to,56
P-Partnered_with,56
P-Merged_with,55
P-Served_as,54
P-Operated_by,54
P-Spouse,53
P-not_connected_to,53
P-released,53
P-Employed_by,52
P-Year,52
P-performed_in,52
P-performed_at,52
P-Nominated_for,52
P-operates,52
P-Connected_through,51
P-Performed,51
P-Worked_for,51
P-Starring,51
P-operates_in,51
P-Released_by,50
P-Type,50
P-received,50
P-role,49
P-Recognized_by,49
P-Inspired_by,48
P-Uses,48
P-played_for,48
P-located_at,47
P-led_by,46
P-Hosts,46
P-origin,46
P-Leader_of,46
P-Aired_on,46
P-hosted,44
P-Born_on,44
P-Published_in,44
P-published_by,43
P-Hosted,43
P-Operates_in,42
P-Led,42
P-Is_a,42
P-featured_in,42
P-is_a_member_of,42
P-featuring,42
P-written_by,41
P-taught_at,41
P-Filmed_in,41
P-died_in,41
P-Headquartered_in,41
P-Played_by,41
P-released_by,40
P-Works_at,40
P-Recipient_of,40
P-Offers,40
P-Stars_in,40
P-Taught_at,39
P-established,39
P-portrayed,38
P-defeated,38
P-Buried_in,38
P-Originated_from,38
P-linked_to,38
P-Awarded_by,38
P-Played,37
P-Father,37
P-Designed_by,37
P-plays,37
P-Sold_to,37
P-Subsidiary_of,37
P-Licensed_under,37
P-Acted_in,37
P-Competed_against,36
P-joined,36
P-supported,36
P-plays_for,36
P-connection,35
P-worked_in,35
P-Position_held,35
P-Portrayed_as,35
P-merged_with,35
P-Supported,35
P-created_by,35
P-connects_to,35
P-was_awarded,35
P-developed,34
P-Distributed_by,34
P-has,34
P-works_at,34
P-Operates,34
P-Occupation,34
P-Available_on,34
P-partnered_with,34
P-portrays,34
P-Supported_by,33
P-Resided_in,33
P-Profession,33
P-Established_in,33
P-Played_in,33
P-subsidiary_of,33
P-Hosted_in,32
P-Connects_to,32
P-originated_from,32
P-Capital_of,32
P-studied_under,32
P-Defeated_by,32
P-led,32
P-produces,32
P-Is_part_of,31
P-Recorded_at,31
P-Capital,31
P-involves,31
P-Opposed,31
P-Father_of,31
P-Performed_by,31
P-Tied_to,31
P-Co-founded,31
P-Designed,31
P-Earned,31
P-Available_in,31
P-Graduated_from,31
P-visited,30
P-contributes_to,30
P-supports,30
P-Is,30
P-Used_by,30
P-Not_connected_to,30
P-Featured,30
P-Grew_up_in,30
P-Mother,29
P-Represents,29
P-Connected_with,29
P-author_of,29
P-Included_in,29
P-President_of,29
P-married,29
P-Awarded_to,29
P-focuses_on,29
P-Published,29
P-Funded_by,29
P-operated_by,29
P-Served_under,28
P-covers,28
P-Author_of,28
P-stars_in,28
P-Plays_for,28
P-discovered,27
P-held_in,27
P-Buried_at,27
P-Serves,27
P-References,27
P-Owned,27
P-featured,27
P-discusses,27
P-Manages,27
P-hosted_by,27
P-Focuses_on,27
P-Traded_to,27
P-Portrayed_in,26
P-composed_by,26
P-worked_for,26
P-Language,26
P-associatedWith,26
P-resides_in,26
P-Signed,26
P-Recorded,26
P-Integrated_into,26
P-was_born_in,26
P-played,26
P-Daughter_of,25
P-Served_in,25
P-references,25
P-took_place_in,25
P-Met,25
P-No_connection,25
P-Used,25
P-Lost_to,25
P-Produces,25
P-Plays,25
P-Formed_by,25
P-Faced,25
P-Location_in,24
P-recorded_at,24
P-established_by,24
P-Left,24
P-Also_known_as,24
P-Resides_in,24
P-recorded,24
P-Organized_by,24
P-Member,24
P-Portfolio_company,24
P-Voiced,24
P-Contributes_to,24
P-Houses,23
