Predicate,Count
wdt:P17,21143
wdt:P276,8028
wdt:P159,4631
wdt:P26,4522
wdt:P50,3800
wdt:P463,3758
wdt:P161,3437
wdt:P361,3355
wdt:P19,3162
wdt:P69,2440
wdt:P175,2427
wdt:P170,2087
wdt:P127,1847
wdt:P264,1542
wdt:P551,1493
wdt:P166,1453
wdt:P272,1403
wdt:P7153,1382
wdt:P136,1293
wdt:P108,1115
wdt:P57,1066
wdt:P1411,980
wdt:P674,886
wdt:P112,873
wdt:P577,867
wdt:P40,839
wdt:P641,829
wdt:P647,825
wdt:P36,817
wdt:P1346,811
wdt:P3373,740
wdt:P1434,722
wdt:P101,719
wdt:P20,711
wdt:P39,708
wdt:P86,653
wdt:P1071,637
wdt:P178,523
wdt:P138,485
wdt:P162,480
wdt:P6,476
wdt:P750,422
wdt:P1716,411
wdt:P1535,377
wdt:P155,356
wdt:P710,355
wdt:P530,350
wdt:P2936,328
wdt:P31,322
wdt:P449,309
wdt:P452,261
wdt:P580,255
wdt:P417,248
wdt:P61,235
wdt:P569,234
wdt:P3342,231
wdt:P1412,231
wdt:P1313,225
wdt:P176,225
wdt:P106,220
wdt:P941,196
wdt:P805,190
wdt:P802,178
wdt:P286,156
wdt:P135,143
wdt:P6379,136
wdt:P291,129
wdt:P1268,129
wdt:P807,123
wdt:P1027,123
wdt:P119,122
wdt:P10606,119
wdt:P7959,118
wdt:P664,116
wdt:P35,113
wdt:P140,112
wdt:P7604,111
wdt:P123,108
wdt:P5138,104
wdt:P737,102
wdt:P169,100
wdt:P366,100
wdt:P3279,99
wdt:P344,95
wdt:P47,94
wdt:P570,89
wdt:P1037,84
wdt:P451,82
wdt:P1038,79
wdt:P945,79
wdt:P287,72
wdt:P793,71
wdt:P279,71
wdt:P1906,71
wdt:P1889,67
wdt:P88,64
wdt:P1040,64
wdt:P8032,63
wdt:P1136,63
wdt:P190,62
wdt:P98,59
wdt:P3712,57
wdt:P2341,56
wdt:P585,56
wdt:P172,55
wdt:P306,52
wdt:P1050,49
wdt:P97,47
wdt:P9883,44
wdt:P1269,43
wdt:P406,42
wdt:P1408,40
wdt:P1433,38
wdt:P1142,35
wdt:P7937,35
wdt:P208,35
wdt:P509,34
wdt:P505,33
wdt:P825,32
wdt:P1444,31
wdt:P8345,31
wdt:P110,30
wdt:P2388,30
wdt:P421,30
wdt:P2348,26
wdt:P2512,26
wdt:P582,25
wdt:P831,25
wdt:P1431,24
wdt:P512,24
wdt:P828,21
wdt:P3320,21
wdt:P822,18
wdt:P194,17
wdt:P413,17
wdt:P598,16
wdt:P5323,16
wdt:P6942,16
wdt:P6872,14
wdt:P4908,14
wdt:P2578,14
wdt:P400,14
wdt:P609,13
wdt:P3075,13
wdt:P410,12
wdt:P736,12
wdt:P795,11
wdt:P559,11
wdt:P1302,11
wdt:P10894,11
wdt:P275,11
wdt:P797,10
wdt:P5353,10
wdt:P1591,10
wdt:P859,9
wdt:P1429,9
wdt:P1336,8
wdt:P3461,8
wdt:P10449,8
wdt:P209,7
wdt:P974,6
wdt:P129,6
wdt:P177,6
wdt:P2679,6
wdt:P437,6
wdt:P157,6
wdt:P6758,6
wdt:P942,6
wdt:P1876,6
wdt:P403,5
wdt:P277,5
wdt:P397,5
wdt:P210,5
wdt:P9714,4
wdt:P126,4
wdt:P1427,4
wdt:P1399,4
wdt:P1594,4
wdt:P521,4
wdt:P3033,4
wdt:P3301,4
wdt:P38,4
wdt:P3967,4
wdt:P541,4
wdt:P113,4
wdt:P708,4
wdt:P2408,3
wdt:P411,3
wdt:P163,3
wdt:P376,3
wdt:P425,3
wdt:P748,3
wdt:P2561,3
wdt:P631,3
wdt:P1809,3
wdt:P183,2
wdt:P1317,2
wdt:P200,2
wdt:P1589,2
wdt:P2291,2
wdt:P7936,2
wdt:P197,2
wdt:P4743,2
wdt:P415,2
wdt:P3729,2
wdt:P1557,2
wdt:P2554,2
wdt:P461,2
wdt:P457,2
wdt:P655,2
wdt:P237,2
wdt:P1304,2
wdt:P1636,1
wdt:P3501,1
wdt:P1951,1
wdt:P3912,1
wdt:P8371,1
wdt:P3275,1
wdt:P2293,1
